Target	Log2FC	padj
AT4G10540	-2.92216424119389	2.82E-05
AT4G35350	-0.757900777792641	2.90E-05
AT1G20990	-1.94076943766494	2.94E-05
AT5G63570	-0.394234551025121	2.94E-05
AT3G12920	-0.522627601295761	2.98E-05
AT1G74210	0.639148921751442	2.98E-05
AT5G02090	0.975493053682454	2.99E-05
AT3G59580	1.83931749988624	2.99E-05
AT1G33600	-1.91178679188011	3.02E-05
AT4G18197	-1.32119039658352	3.09E-05
AT1G58320	-1.56005370619201	3.11E-05
AT2G36490	0.660307732589199	3.13E-05
AT1G23800	0.773263375385138	3.15E-05
AT3G18440	-0.536468201167324	3.29E-05
AT3G27906	0.987553722571706	3.45E-05
AT3G44590	0.548892381588189	3.48E-05
AT1G02920	-0.695752370680736	3.48E-05
AT2G29220	-2.07397912291059	3.48E-05
AT3G14060	1.43793364192571	3.48E-05
AT1G22550	0.874081746003751	3.70E-05
AT5G42500	0.915763458006678	3.83E-05
AT5G64480	1.30983532407591	3.87E-05
AT5G25230	-2.01354576259605	3.90E-05
AT5G66690	0.349315138200715	3.90E-05
AT3G51330	-0.576919934258587	3.91E-05
AT5G02370	0.589246965802167	4.08E-05
AT2G29250	-2.41068583571387	4.12E-05
AT5G37490	-1.66361751617993	4.12E-05
AT1G74440	-1.08768261400468	4.22E-05
AT3G53260	-0.327697035840964	4.60E-05
AT1G76780	-0.866526003254456	4.64E-05
AT4G34380	-1.17958454433574	4.64E-05
AT5G54810	-0.467992099997665	4.67E-05
AT3G47800	0.718972114682867	5.06E-05
AT3G53100	-0.879232694546537	5.09E-05
AT1G80380	-0.754743204590353	5.34E-05
AT2G40610	1.31308298734406	5.42E-05
AT1G49750	-1.86840443445108	5.48E-05
AT3G47110	0.906585297604722	5.48E-05
AT5G65210	0.402119721663011	5.54E-05
AT5G52720	-1.24856520356273	5.58E-05
AT5G61260	0.753936565255684	5.86E-05
AT2G23600	-0.637211227608712	5.92E-05
AT4G14450	-1.53293213754505	5.92E-05
AT1G07135	-1.09239892743825	5.96E-05
